learning_rate,weight_decay,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc,success,output_file
0.1,0.001,,0.5711692571640015,0.699510395526886,0.7002683877944946,0.699510395526886,0.6991908550262451,0.7713009119033813,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_8.out
0.001,0.001,,0.5717199444770813,0.6994084119796753,0.7001028060913086,0.6994084119796753,0.69915771484375,0.7706562876701355,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_2.out
0.1,0.0001,,0.571387767791748,0.7002243995666504,0.7009050250053406,0.7002243995666504,0.6998850107192993,0.7709206342697144,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_7.out
0.01,0.0001,,0.5710973143577576,0.7006323933601379,0.7014291286468506,0.7006323933601379,0.7004238963127136,0.7714197039604187,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_4.out
0.01,0.001,,0.5716652274131775,0.6984904408454895,0.6991258263587952,0.6984904408454895,0.6981033682823181,0.7707743644714355,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_5.out
0.001,0.01,,0.5709215998649597,0.6999183893203735,0.7005228996276855,0.6999183893203735,0.6995365023612976,0.7714368104934692,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_3.out
0.01,0.01,,0.5712031126022339,0.6990004181861877,0.6997267603874207,0.6990004181861877,0.6988013386726379,0.7712393999099731,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_6.out
0.001,0.0001,,0.5713586807250977,0.7009384036064148,0.7016427516937256,0.7009384036064148,0.700659453868866,0.7710442543029785,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_1.out
0.1,0.01,,0.5712927579879761,0.7000203728675842,0.7007957100868225,0.7000203728675842,0.6997787952423096,0.771094799041748,False,t_jepa_higgs_probe_grid_results_20epoch/probe_grid_5196_9.out
