learning_rate,weight_decay,val_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc,success,output_file
0.001,0.001,,0.5826456546783447,0.6913504600524902,0.6918622255325317,0.6913504600524902,0.690706729888916,0.7601509690284729,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_2.out
0.01,0.001,,0.5826524496078491,0.6914524435997009,0.6919493079185486,0.6914524435997009,0.6908362507820129,0.7601251006126404,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_5.out
0.1,0.0001,,0.5825678706169128,0.6912484765052795,0.6918030381202698,0.6912484765052795,0.6906248927116394,0.760233998298645,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_7.out
0.001,0.01,,0.5825784802436829,0.6914524435997009,0.6920078992843628,0.6914524435997009,0.6908178925514221,0.7601457834243774,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_3.out
0.001,0.0001,,0.5826541185379028,0.6911464929580688,0.6916712522506714,0.6911464929580688,0.6905217170715332,0.7600231766700745,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_1.out
0.1,0.001,,0.5825763940811157,0.6917584538459778,0.6923248171806335,0.6917584538459778,0.6910762190818787,0.7601867318153381,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_8.out
0.01,0.01,,0.5826014876365662,0.6914524435997009,0.6920106410980225,0.6914524435997009,0.6908445954322815,0.7601379156112671,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_6.out
0.1,0.01,,0.5826162099838257,0.6918604373931885,0.6923988461494446,0.6918604373931885,0.6912215352058411,0.7600932717323303,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_9.out
0.01,0.0001,,0.5826698541641235,0.6910444498062134,0.6915769577026367,0.6910444498062134,0.6904352903366089,0.7600660920143127,False,higgs_probe_grid/epoch_320/200epochs/probe_grid_5441_4.out
